神秘の森に隠された真実,家族を亡くした少年は神秘的な森で真実を探し始める。
夢見る世界の彼方で,夢と現実が交錯する異世界で繰り広げられる青春ラブストーリー。
雪月花,雪の降る小さな村で、月の光が照らす謎の花を探る冒険。
蒼き竜の伝説,蒼き竜を巡る伝説が紡ぐ壮大なファンタジー。
翼をもつ者たち,空を自由に飛ぶ能力を持った少年少女たちの戦い。
星影の彼方に,宇宙の果てに存在する未知の星を目指す旅が始まる。
神の試練,伝説の勇者が再び現れる。彼の使命は、神々の試練を乗り越え、世界を救うことだ
虹の奇跡,少年と少女が虹の橋を渡り、不思議な異世界に迷い込む。彼らの冒険が始まる
天空の剣士,一人の若き剣士が、天空を目指し、数々の試練に挑む壮大な物語
影の魔女,呪われた村を救うため、影と闇を操る魔女が立ち上がる
星降る夜の秘密,星が輝く夜、少年は運命的な出会いを果たし、不思議な力に目覚める
竜使いの契約,古代の竜と契約を結んだ少女が、世界を巡る冒険に出る
魔法学院の落第生,魔法学院で最下位の少年が、意外な才能を開花させ、注目を集める
不死鳥の涙,伝説の不死鳥の力を求める戦士たちが、涙の源を目指す
騎士と姫の誓い,戦乱の中で出会った騎士と姫が、共に戦い、共に誓いを立てる物語
夜の森の謎,夜の森に隠された謎を解くため、勇敢な探偵が調査を始める
幻想探偵社,謎の多い街で、失踪する人々の謎を解き明かす若き探偵たちの物語。
魔法学園の落第生,落第寸前の生徒が秘められた力を目覚めさせ、学園の危機を救う。
異世界ファンタジー,平凡な高校生が突然異世界に召喚され、英雄になるまでの冒険譚。
未来都市の影,未来都市で起こる不可解な事件に挑む女性刑事のサスペンス。
時を越える恋,時空を超えた運命の恋人たちが再び巡り合う切ないラブストーリー。
ドキドキ魔界学園,魔界の学園に転入した主人公が、奇妙なクラスメートたちと織りなす日常コメディ。
禁断の錬金術,古代の錬金術を手に入れた青年が、世界の真実に迫る。
幽霊少女の願い,幽霊になった少女が、自分の未練を晴らすために一人の少年に助けを求める。
妖精王の試練,妖精の力を受け継ぐことになった少年が、様々な試練に立ち向かう。
不思議な書店,不思議な書店で働くことになった主人公が、本を通じて異世界へと誘われる。
星空の彼方に,少年は不思議な力を持つ少女と出会い、様々な冒険に挑む。友情と愛情の物語。
異世界転生の勇者,普通の高校生が異世界に転生し、勇者として新たな生活を始める。
魔法学園の秘密,名門魔法学園に入学した少年が、驚くべき秘密を発見する。
竜の涙,竜を討伐するために選ばれた少女が、竜との深い絆に気づく。
時を超える少女,時間を操る能力を持つ少女が、未来を変えるために戦う。
闇の王子と白の姫,闇の王国の王子と光の王国の姫が、両国の運命を変えるために協力する。
地球最後の日記,滅びゆく地球で、生き残りをかけた人々の記録。
サイバークエスト,仮想現実の世界で、少年が数々のクエストに挑む。
天使と悪魔の契約,天使と悪魔が一つの目的のために手を組む異色のファンタジー。
零の魔女,未知なる魔法を操る少女が、世界の均衡を保つために戦う。
光の勇者,古代の魔王を倒すために選ばれた青年の冒険譚。この旅路で友情と愛を見つける。
闇の学園,不思議な力を持つ少年が特殊な学園で学びながら陰謀と戦う物語。
異世界の姫君,交通事故で異世界に転生した一般女子高生が王国の姫に生まれ変わり、運命を変える冒険を繰り広げる。
機械の騎士,未来都市で繰り広げられるサイボーグとして蘇った元兵士の奮闘記。
竜の向こう,異世界に召喚された少年が竜と契約し、世界の危機に立ち向かうファンタジー。
時間の迷宮,不思議な時計で過去と未来を自由に行き来する少年の冒険と成長を描く。
風の歌姫,風を操る能力を持つ少女が、音楽で世界を救うために旅するストーリー。
星の彼方に,宇宙飛行士を目指す少女が繰り広げる友情と努力のスペースオペラ。
夢見の森,異世界の森で目覚めた少年が、不思議な生物たちと織りなすハートフルファンタジー。
夜明けの騎士,伝説の武器を手に入れた少年が暗黒の戦争を終わらせるために戦う壮大な物語。
勇者の帰還,彼は魔王を倒して人々を救ったが、その代償に何を失ったのか。
空色のラピスラズリ,少女は世界を救うために異世界へ召喚される。彼女の使命とは？
花咲く丘で会いましょう,失われた記憶を取り戻すため、少年は不思議な花に導かれる。
月夜のパレード,秘密の夜の祭りに誘われた少女。そこに隠された真実とは？
機械仕掛けの心臓,無感情な少年が、少女と出会い心を取り戻す旅に出る。
琥珀の夢,異世界に転生した青年の前に現れたドラゴンと共に新たな冒険が始まる。
影の城のプリンセス,城に閉じ込められた王女が、影の騎士と共に運命に抗う。
風のささやき,突然、風の力を手に入れた少年が冒険の旅に出発する。
雨上がりの魔術師,失った魔力を取り戻すため、魔術師の少年は過去と向き合う。
狼と月光,孤独な少女と孤高の狼が出会う時、物語は動き出す。
異世界の魔法使い,青年が異世界に召喚され、魔法の力を手に入れ、仲間と共に冒険を繰り広げる物語。
僕の彼女は吸血鬼,高校生の主人公が学生生活を送りながら、吸血鬼の彼女との秘密の関係を描くラブコメディ。
神の塔に登る者,祖父の遺言に従い、伝説の「神の塔」に挑む主人公の成長と友情の物語。
氷の剣士,幼馴染を守るために剣士として成長する主人公が、冷徹な剣技で数々の試練に立ち向かう。
未来のカケラ,異能力を持つ高校生たちが、未来を変えるために過去にタイムスリップするSFドラマ。
秘密の図書館,廃墟となった図書館で見つけた異世界への扉を通じて、冒険を繰り広げる少年の物語。
影の王女,王国の陰謀に巻き込まれた王女が、影の力を使って真実を暴くミステリー。
月夜のダンサー,神秘的な都市で、舞踊家の少女が運命に抗いながら自分の道を見つけていく感動の物語。
紅蓮の錬金術師,失われた秘術を求め、錬金術師の青年が仲間とともに旅をするファンタジー。
妖怪の囁き,日常に潜む妖怪たちと交流しながら、普通の高校生が非日常に巻き込まれていくホラー。
異世界の王座に君臨する,ひよっこプログラマーが異世界に召喚され、魔法でエンジニアとしてのスキルを駆使しながら国を救う
ドラゴンの涙と勇者の絆,平凡な高校生が勇者として召喚され、竜の涙を集めるために仲間たちと冒険
天才魔術師のめんどくさい日常,魔法界の天才が日常生活の中で小さなトラブルに巻き込まれるコメディストーリー
転生したらお嬢様!?のはずが男爵令嬢だった件,現代女子高生が異世界の男爵令嬢に転生し、意外と面白い日常を過ごす
